year,household_class,rev_crops,rev_livestock,rev_off_farm,cost_crop_inputs,cost_livestock,cost_hired_labor,profit,discount_factor,discounted_profit
1,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,1.0,112241.92063492062
1,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,1.0,122543.02380952382
1,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,1.0,153446.33333333334
1,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,1.0,153446.33333333334
1,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,1.0,166250.74603174604
1,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,1.0,143294.12698412698
2,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.9090909090909091,102038.10966810965
2,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.9090909090909091,111402.74891774892
2,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.9090909090909091,139496.66666666666
2,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.9090909090909091,139496.66666666666
2,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.9090909090909091,151137.04184704184
2,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.9090909090909091,130267.38816738816
3,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.8264462809917354,92761.91788009967
3,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.8264462809917354,101275.22628886264
3,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.8264462809917354,126815.1515151515
3,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.8264462809917354,126815.1515151515
3,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.8264462809917354,137397.31077003802
3,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.8264462809917354,118424.89833398923
4,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.7513148009015775,84329.01625463605
4,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.7513148009015775,92068.38753532966
4,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.7513148009015775,115286.50137741044
4,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.7513148009015775,115286.50137741044
4,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.7513148009015775,124906.64615458001
4,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.7513148009015775,107658.99848544474
5,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.6830134553650705,76662.74204966915
5,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.6830134553650705,83698.53412302697
5,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6830134553650705,104805.9103431004
5,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6830134553650705,104805.9103431004
5,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.6830134553650705,113551.49650416365
5,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.6830134553650705,97871.81680494976
6,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.6209213230591549,69693.40186333557
6,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.6209213230591549,76089.57647547906
6,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6209213230591549,95278.10031190945
6,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6209213230591549,95278.10031190945
6,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.6209213230591549,103228.63318560329
6,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.6209213230591549,88974.37891359068
7,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.5644739300537772,63357.638057577795
7,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.5644739300537772,69172.3422504355
7,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.5644739300537772,86616.4548290086
7,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.5644739300537772,86616.4548290086
7,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.5644739300537772,93844.2119869121
7,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.5644739300537772,80885.79901235517
8,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.5131581182307065,57597.852779616165
8,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.5131581182307065,62883.9475003959
8,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.5131581182307065,78742.23166273507
8,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.5131581182307065,78742.23166273507
8,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.5131581182307065,85312.91998810189
8,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.5131581182307065,73532.5445566865
9,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.4665073802097331,52361.6843451056
9,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.4665073802097331,57167.225000359904
9,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.4665073802097331,71583.84696612277
9,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.4665073802097331,71583.84696612277
9,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.4665073802097331,77557.19998918353
9,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.4665073802097331,66847.7677788059
10,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.42409761837248455,47601.531222823265
10,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.42409761837248455,51970.20454578172
10,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.42409761837248455,65076.22451465706
10,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.42409761837248455,65076.22451465706
10,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.42409761837248455,70506.54544471228
10,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.42409761837248455,60770.69798073263
